티커,종목,ISIN,시장
060310,3S,KR7060310000,KSQ
095570,AJ네트웍스,KR7095570008,STK
006840,AK홀딩스,KR7006840003,STK
054620,APS,KR7054620000,KSQ
079810,APS이노베이션,KR7079810008,KSQ
265520,AP시스템,KR7265520007,KSQ
211270,AP위성,KR7211270004,KSQ
027410,BGF,KR7027410000,STK
282330,BGF리테일,KR7282330000,STK
126600,BGF에코머티리얼즈,KR7126600006,KSQ
138930,BNK금융지주,KR7138930003,STK
001460,BYC,KR7001460005,STK
001465,BYC우,KR7001461003,STK
083790,CG인바이츠,KR7083790006,KSQ
001040,CJ,KR7001040005,STK
079160,CJ CGV,KR7079160008,STK
035760,CJ ENM,KR7035760008,KSQ
311690,CJ 바이오사이언스,KR7311690002,KSQ
00104K,CJ4우(전환),KR700104K010,STK
000120,CJ대한통운,KR7000120006,STK
011150,CJ씨푸드,KR7011150000,STK
011155,CJ씨푸드1우,KR7011151008,STK
001045,CJ우,KR7001041003,STK
097950,CJ제일제당,KR7097950000,STK
097955,CJ제일제당 우,KR7097951008,STK
051500,CJ프레시웨이,KR7051500007,KSQ
058820,CMG제약,KR7058820002,KSQ
056730,CNT85,KR7056730005,KSQ
000480,CR홀딩스,KR7000480004,STK
065770,CS,KR7065770000,KSQ
083660,CSA 코스믹,KR7083660001,KSQ
000590,CS홀딩스,KR7000590000,STK
012030,DB,KR7012030003,STK
477760,DB금융스팩12호,KR7477760003,KSQ
005830,DB손해보험,KR7005830005,STK
016610,DB증권,KR7016610008,STK
000990,DB하이텍,KR7000990002,STK
099520,DGI,KR7099520009,KSQ
000300,DH오토넥스,KR7000300004,STK
290120,DH오토리드,KR7290120005,KSQ
025440,DH오토웨어,KR7025440009,KSQ
001530,DI동일,KR7001530005,STK
015590,DKME,KR7015590003,STK
000210,DL,KR7000210005,STK
000215,DL우,KR7000211003,STK
375500,DL이앤씨,KR7375500006,STK
37550L,DL이앤씨2우(전환),KR737550K029,STK
37550K,DL이앤씨우,KR737550K011,STK
068790,DMS,KR7068790005,KSQ
007340,DN오토모티브,KR7007340003,STK
004840,DRB동일,KR7004840005,STK
241520,DSC인베스트먼트,KR7241520006,KSQ
155660,DSR,KR7155660004,STK
069730,DSR제강,KR7069730000,STK
017860,DS단석,KR7017860008,STK
180400,DXVX,KR7180400004,KSQ
092780,DYP,KR7092780006,STK
017940,E1,KR7017940008,STK
418620,E8,KR7418620001,KSQ
245620,EDGC,KR7245620000,KSQ
037370,EG,KR7037370004,KSQ
278990,EMB,KR7278990007,KNX
365550,ESR켄달스퀘어리츠,KR7365550003,STK
050120,ES큐브,KR7050120005,KSQ
383220,F&F,KR7383220001,STK
007700,F&F홀딩스,KR7007700008,STK
214270,FSN,KR7214270001,KSQ
